bestVendorBuylist,bestVendorBuylistPrice,countForTrade,date,fair_price,lowestPrice,lowestPriceVendor,name,quantity,setName
UNDEFINED,0.0,0,2020-02-08_1130,0.04,0.04,TCG Player,Sunblade Angel,0,War_of_the_Spark
Card Kingdom,0.05,0,2020-02-08_1130,0.05,0.05,TCG Player,Swamp,0,War_of_the_Spark
CoolStuff,4.0,0,2020-02-08_1130,0.97,0.79,StrikeZone,"Tamiyo, Collector of Tales",0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.08,0.08,TCG Player,Teferi's Time Twist,0,War_of_the_Spark
Card Kingdom,15.0,0,2020-02-08_1130,18.0,12.49,TrollAndToad,"Teferi, Time Raveler",0,War_of_the_Spark
Card Kingdom,0.05,0,2020-02-08_1130,0.25,0.25,Card Kingdom,Tenth District Legionnaire,0,War_of_the_Spark
CoolStuff,0.25,0,2020-02-08_1130,0.18,0.18,TCG Player,"Teyo, the Shieldmage",0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.0,999999.0,Unknown,"Tezzeret, Master of the Bridge",0,War_of_the_Spark
TCG Player,0.52,0,2020-02-08_1130,1.25,0.79,Card Kingdom,The Elderspell,0,War_of_the_Spark
Miniature Market,0.5,0,2020-02-08_1130,0.25,0.25,Card Kingdom,The Wanderer,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.79,0.2,Miniature Market,Tibalt's Rager,0,War_of_the_Spark
CoolStuff,0.75,0,2020-02-08_1130,0.35000000000000003,0.29,StrikeZone,"Tibalt, Rakish Instigator",0,War_of_the_Spark
CoolStuff,0.5,0,2020-02-08_1130,0.45,0.45,TCG Player,Time Wipe,0,War_of_the_Spark
CoolStuff,0.25,0,2020-02-08_1130,0.45,0.45,TCG Player,"Tolsimir, Friend to Wolves",0,War_of_the_Spark
StrikeZone,0.25,0,2020-02-08_1130,0.46,0.46,TCG Player,"Tomik, Distinguished Advokist",0,War_of_the_Spark
Card Kingdom,0.16,0,2020-02-08_1130,0.34,0.25,StrikeZone,Tyrant's Scorn,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.04,0.04,TCG Player,Ugin's Conjurant,0,War_of_the_Spark
Card Kingdom,3.0,0,2020-02-08_1130,3.94,3.94,TCG Player,"Ugin, the Ineffable",0,War_of_the_Spark
StrikeZone,0.15,0,2020-02-08_1130,0.30000000000000004,0.25,Card Kingdom,Vivien's Arkbow,0,War_of_the_Spark
UNDEFINED,0.0,0,2020-02-08_1130,0.04,0.04,TCG Player,Vivien's Grizzly,0,War_of_the_Spark
Miniature Market,3.0,0,2020-02-08_1130,1.78,1.49,StrikeZone,"Vivien, Champion of the Wilds",0,War_of_the_Spark
